sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-4933,ST VITH LOMMERSWEILER R DEP DREIHUTTEN,DL3108,O,Lommersweil_R_CM_FT003.F.PV,TGW,55309457,42500570,Lommersweil_R_CM_FT003.F.PV,SAINT VITH,ST VITH LOMMERSWEILER R DEP DREIHUTTEN,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (778095.9139999971 605375.4844999984 0 nan),6.164733910810838,50.24534673927185
CPT-4974,MALMEDY ARIMONT ARR HEDOMONT,DL2886,O,DL2964_3,TRD,55302932,S00198801-B02,MALMEDY_CM_FT027,MALMEDY,MALMEDY ARIMONT ARR HEDOMONT,Distribution,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,LS42,POINT ZM (770856.3620000035 623547.5262999982 0 nan),6.069128055047423,50.41021752184505
CPT-4975,MALMEDY WINBORU R ARR TUNNEL R CHODES SP,DL3577,O,Wimboru_R_CM_FT001.F.PV,TGW,S00296201-B01,42500529,Wimboru_R_CM_FT001.F.PV,MALMEDY,MALMEDY WINBORU R ARR TUNNEL CHODES,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769194.1240999997 625856.1240999997 0 nan),6.046486343970906,50.431309142643066
CPT-4976,MALMEDY MONT R200 ARR XHOFFRAIX SP,DL4453,O,MalmedyMont_R_CM_FT002.F.PV,TGW,S00201501-B01,42500513,MalmedyMont_R_CM_FT002.F.PV,MALMEDY,MALMEDY MONT R ARR XHOFFRAIX SP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769419.9290999994 630770.8957999982 0 nan),6.051239961161665,50.475437050113484
CPT-4994,STAVELOT PRISE ADD VIEUX CHATEAU R VERS LODOMEZ R,DL4957,O,Stavelot_R_CM_FT002.F.PV,TGW,55103152,42509512,Stavelot_R_CM_FT002.F.PV,STAVELOT,STAVELOT VX CHATEAU R DEP LODOMEZ,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (762161.6806000024 621138.5346000008 0 nan),5.946107723955608,50.39030021080273
CPT-5014,STAVELOT BARONHEID R DEP HOCKAY,DL0227,O,Baronheid_R_CV_CM_FT003.F.PV,TGW,55103180,42508512,Baronheid_R_CV_CM_FT003.F.PV,STAVELOT,STAVELOT BARONHEID R DEP HOCKAY,Distribution,EN SERVICE,TGW,INCONNU,ENDRESS HAUSER,INCONNU,,,POINT ZM (763249.6397999972 630732.3856999986 0 nan),5.964320327385778,50.476322445446264
CPT-5029,LIERNEUX TRIXHEUFOSSE R80 ARR HEBRONVAL D,DL3761,O,Trixheufoss_ST_CM_FT001.F.PV,TGW,S00197401-B01,55/8/2/001,Trixheufoss_ST_CM_FT001.F.PV,LIERNEUX,LIERNEUX TRIXHEUFOSSE ST ARR HEBRONVAL,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (751583.2748000026 608349.9957999997 0 nan),5.793897397249167,50.277283500453585
CPT-5034,VIELSALM HEBRONVAL OTTRE,DL0158,O,DL0158_1,TRD,55102843,55102842,VIELSALM_CM_FT008,VIELSALM,VIELSALM HEBRONVAL OTTRE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (753141.936999999 605920.9596999995 0 nan),5.81509233591352,50.255176465726095
CPT-5036,VIELSALM GOSSOIN R DEP,DL0144,O,Z004060FT3,TGC,55102832,S00228901-B01,VIELSALM_CM_FT001,VIELSALM,VIELSALM GOSSOIN R DEP,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (761455.8677000031 609136.5806999989 0 nan),5.932607932838972,50.282556096259604
CPT-5056,LIERNEUX GRAND SART SP,DL5913,N,,,55102956,55102956,,,,None,,,,,,,,POINT ZM (755724.1937000006 608246.2355999984 0 nan),5.851951500008449,50.27561697537545
CPT-5099,JALHAY ROUTE DE HOCKAI,DL6990,N,,NONE,55103180,55103180,,,,None,,,,,,,,POINT ZM (764040.1661000028 631911.2168000005 0 nan),5.975816536155778,50.48676384026372
CPT-5107,MALMEDY CHODES FILTRE 3,DL3817,N,Z004204FT7,TGC,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769398.3841999993 626316.0738000013 0 nan),6.049507936082988,50.43540143390072
CPT-5109,MALMEDY CHODES LAVAGE FILTRE,DL3819,N,Z004204FT3,TGC,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769374.6447999999 626315.1810000017 0 nan),6.049173573832436,50.43539826697635
CPT-5233,STAVELOT STOCKEU,DL7177,N,DL7176_3,TRD,55103166,55103166,STAVELOT_CM_FT020,STAVELOT,STAVELOT STOCKEU,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG 8000,SOFREL,LS42,POINT ZM (761912.8209000006 619430.6865000017 0 nan),5.942096867946834,50.374997140836726
CPT-5234,STAVELOT STOCKEU,DL7176,N,DL7176_1,TRD,55103166,55103166,STAVELOT_CM_FT019,STAVELOT,STAVELOT SOMAGNE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG 8000,SOFREL,LS42,POINT ZM (761913.2312000021 619428.5566000007 0 nan),5.9421019965223785,50.37497791778128
CPT-5257,LIERNEUX BANEUX S,DL6444,N,Baneux_S_CM_FT001,TGW,55102964,55102964,,,,None,,,,,,,,POINT ZM (748960.7048999965 609147.1499999985 0 nan),5.757321092477273,50.28489880200169
CPT-5325,WAIMES ROBERTVILLE LAC SP LAVAGE,DL6659,N,,NONE,S00232101-B01,S00232101-B01,,,,None,,,,,,,,POINT ZM (774244.4192999974 628789.3125 0 nan),6.118527820015145,50.45661880946267
CPT-5327,WAIMES BOTRANGE R LAVAGE,DL6661,N,,TGW,S00231701-B01,S00231701-B01,,,,None,,,,,,,,POINT ZM (773573.1357999966 632222.4558999985 0 nan),6.11021705904142,50.48761791242853
CPT-5401,STAVELOT STOKEU RCP REF VERS SOMAGNE BAS,DL5911,N,,NONE,55103166,55103166,,,,None,,,,,,,,POINT ZM (761389.1502000019 620686.074000001 0 nan),5.935111102591084,50.38638122275521
CPT-5548,JALHAY CRAMA R ARR ADDUCTION,DL4446,O,Crama_R_CM_FT001.F.PV,TGW,S00194001-B01,42500512,Crama_R_CM_FT001.F.PV,JALHAY,JALHAY CRAMA R ARR ADDUCTION,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762501.4491000026 634060.4182000011 0 nan),5.95478937202623,50.50638046501193
CPT-5549,JALHAY CRAMA R DEP SART,DL0236,O,Crama_R_CM_FT002.F.PV,TGW,55103414,S00194001-B01,Crama_R_CM_FT002.F.PV,JALHAY,JALHAY CRAMA R DEP SART,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762500.4891000018 634060.2380000018 0 nan),5.95477578706792,50.50637903078504
CPT-5551,STAVELOT VX CHATEAU R DEP VX CHATEAU,DL0216,O,Stavelot_R_CM_FT004.F.PV,TGW,55103191,S00220101-B01,Stavelot_R_CM_FT004.F.PV,STAVELOT,STAVELOT VX CHATEAU R DEP STAVELOT VX CHATEAU,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (762155.060800001 621137.5837999992 0 nan),5.946014365766927,50.39029293645075
CPT-5552,JALHAY SART R1250 ARRIVEE,DL4450,O,Wayai_SP_CM_FT001.F.PV,TGW,S00234901-B01,42500601,Wayai_SP_CM_FT001.F.PV,JALHAY,JALHAY SART WAYAI SP ARRIVEE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (761976.311999999 633618.3718999997 0 nan),5.947254731638192,50.50250846257294
CPT-5659,VIELSALM FRAITURE SP ARR DRAIN E1,DL5205,N,Fraiture_SP_CM_FT002.F.PV,TGW,S00228401-B02,55/7/3/003,,,,None,,,,,,,,POINT ZM (748151.1625000015 605767.3993999995 0 nan),5.745078676995771,50.254654694100246
CPT-5668,MANHAY VAUX CHAVANNE CHAMBRE CHLORATION,DL5111,O,VxChavanne_CV_CM_FT001.F.PV,TGW,55102965,42500504,VxChavanne_CV_CM_FT001.F.PV,MANHAY,MANHAY VAUX CHAVANNE CHAMBRE CHLORATION,Distribution,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (745586.5841000006 611026.3321999982 0 nan),5.710463888607736,50.30235236863287
CPT-5673,LIERNEUX JEVIGNE SP OUT,DL3455,O,Jevigne_SP_CM_FT002.F.PV,TGW,55102964,S00197301-B01,Jevigne_SP_CM_FT002.F.PV,LIERNEUX,LIERNEUX JEVIGNE SP OUT,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG53,,,POINT ZM (749157.7835000008 610264.4453000017 0 nan),5.760381787333277,50.294908720295254
CPT-5731,VIELSALM GORONNE BAS SP REFOUL GORONNE,DL0140,O,GoronneBas_SP_CM_FT003.F.PV,TGW,55102825,S00228601-B01,GoronneBas_SP_CM_FT003.F.PV,VIELSALM,VIELSALM GORONNE BAS SP REFOUL GORONNE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (756163.5112000033 609490.817499999 0 nan),5.858465965179778,50.28672461973202
CPT-5735,VIELSALM GORONNE BAS R50 ARR DRAIN D1,DL5127,N,GoronneBas_SP_CM_FT001.F.PV,TGW,S00228601-B01,55/4/9/001,GoronneBas_SP_CM_FT001.F.PV,VIELSALM,VIELSALM GORONNE BAS R50 ARR DRAIN D1,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (756162.8209000006 609493.5373999998 0 nan),5.858457051234571,50.286749193457254
CPT-5778,JALHAY VECQUEE R DEP HOCKAY SURP,DL6469,O,Vecquee_R_CM_FT003.F.PV,TGW,42508512,003005-B01,Vecquee_R_CM_FT003.F.PV,JALHAY,JALHAY VECQUEE R DEP HOCKAY SURP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (762827.2128999978 630897.5989999995 0 nan),5.958420493831437,50.477889359137
CPT-5779,STAVELOT CIRCUIT R ARR VILLAGE,DL0225,O,A000194FT1,TGC,S00217101-B01,55103183,JALHAY_CM_FT011,STAVELOT,STAVELOT CIRCUIT R ARR VILLAGE,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (762983.4094000012 627657.4539999999 0 nan),5.959636756162468,50.44873586121712
CPT-5780,JALHAY ROQUEZ SART STATION,DL0241,O,DL0241_1,TRD,55103415,42500512,JALHAY_CM_FT018,JALHAY,JALHAY ROQUEZ SART STATION,Adduction,EN SERVICE,TRD,DEBITMETRE,ENDRESS HAUSER,PROMAG53,SOFREL,LS42,POINT ZM (762713.6265999973 633541.7540999986 0 nan),5.957622440719434,50.50167758485954
CPT-5781,STAVELOT PRISE ADD ALIMENTATION RIVAGE R,DL4951,N,CM_FT_NotUsed,TGW,42500526,42509512,HTMasta_CV_CM_FT003.F.PV,STAVELOT,STAVELOT PRISE ALIMENTATION RIVAGE R,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762799.5225000009 625808.6273999996 0 nan),5.9564882358409825,50.43215367000145
CPT-5782,STAVELOT PRISE ADDUCTION WAVREUMONT GRAND,DL4954,O,HTMasta_CV_CM_FT001.F.PV,TGW,42500524,42509512,HTMasta_CV_CM_FT001.F.PV,STAVELOT,STAVELOT PRISE ADDUCTION WAVREUMONT GRAND,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762851.2210000008 622533.5392999984 0 nan),5.956224341578486,50.40270612031906
CPT-5900,ST VITH GALHAUSEN,DL3140,O,DL3140_1,TRD,55302451,Unknown,ST_VITH_CM_FT006,SAINT VITH,ST VITH GALHAUSEN,Achat,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,LS42EA,POINT ZM (774331.4452000037 607041.6944999993 0 nan),6.112521916606075,50.26113363912973
CPT-5903,WAIMES OVIFAT,DL2872,O,DL2872_1,TRD,55302406,42500519,WAIMES_CM_FT007,WAIMES,WAIMES OVIFAT,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (774096.0254999995 630409.496100001 0 nan),6.116978718075777,50.471212318238635
CPT-5910,STAVELOT COO BIESTER S,DL5908,O,CooBiester_S_CM_FT001.F.PV,TGW,55109165,55103165,CooBiester_S_CM_FT001.F.PV,STAVELOT,STAVELOT COO BIESTER S,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (757573.0279000029 621153.3636999987 0 nan),5.88159569545139,50.391297188673846
CPT-5913,STAVELOT HTE LEVEE DEPART,DL0218,O,HauteLevee_R_CM_FT002.F.PV,TGW,55103158,S00217701-B01,HauteLevee_R_CM_FT002.F.PV,STAVELOT,STAVELOT HTE LEVEE DEPART,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG53,,,POINT ZM (760980.1721000001 623432.2375999987 0 nan),5.930178382968594,50.411142774999696
CPT-5914,STAVELOT HTE LEVEE ARR ADD,DL2696,O,HauteLevee_R_CM_FT001.F.PV,TGW,S00217701-B01,42500523,HauteLevee_R_CM_FT001.F.PV,STAVELOT,STAVELOT HTE LEVEE ARR ADD,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG53,,,POINT ZM (760981.201700002 623435.0377000012 0 nan),5.930193698703091,50.41116774758935
CPT-5917,VIELSALM GOLONFA R ARR GRAND BOIS,DL0139,O,Golonfa_R_CM_FT004.F.PV,TGW,S00228501-B01,55102829,Golonfa_R_CM_FT004.F.PV,VIELSALM,VIELSALM GOLONFA ARR GRAND BOIS,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,PROMAG400,,,POINT ZM (760537.2326000035 611167.0940000005 0 nan),5.920320294064328,50.30098177103245
CPT-5918,STAVELOT SS WERIMONT SP IN,DL3444,O,SSWerimont_SP_CM_FT001.F.PV,TGW,S00219301-B01,55103190,SSWerimont_SP_CM_FT001.F.PV,STAVELOT,STAVELOT SS WERIMONT SP IN,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (760359.9217000008 621365.1378999986 0 nan),5.920842350999731,50.39268042696877
CPT-5924,STAVELOT RENARDMONT SP REF STER,DL3438,O,Renardmont_SP_CM_FT004.F.PV,TGW,55103901,S00218501-B01,Renardmont_SP_CM_FT004.F.PV,STAVELOT,STAVELOT RENARDMONT SP REF STER,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (759560.8747000024 621674.6986000016 0 nan),5.909698204490118,50.39561343651024
CPT-5927,AYWAILLE PROVEDROUX DEP,DL0148,O,Z004297FT1,TGC,55102837,55/8/3/004,AYWAILLE_CM_FT004,VIELSALM,VIELSALM PROVEDROUX DEP,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (757945.302699998 605358.2104000002 0 nan),5.882273931782672,50.2492518161139
CPT-5931,VIELSALM FARNIERES R DEP FARNIERES ST,DL5264,O,DL5264_1,TRD,42500588,55/4/6/003,VIELSALM_CM_FT031,VIELSALM,VIELSALM FARNIERES R DEP FARNIERES ST,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (757144.9113999978 612401.0221000016 0 nan),5.873066936186854,50.31270453681385
CPT-6005,VIELSALM GORONNE HAUT R OUT,DL3753,O,DL5130_3,TRD,55102959,S00228801-B01,VIELSALM_CM_FT070,VIELSALM,VIELSALM GORONNE HAUT R OUT,Production,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,DL4W-S,POINT ZM (755830.6049999967 608896.9426000006 0 nan),5.853627760879623,50.28144677053452
CPT-6016,MALMEDY RECULEMONT CV VERS REC BELLEVAUX HP,DL3499,O,Reculemont_CV_CM_FT002.F.PV,TGW,55302955,42500632,Reculemont_CV_CM_FT002.F.PV,MALMEDY,MALMEDY RECULEMONT CV VERS REC BELLEVAUX HP,Adduction,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (767996.0552000031 620507.2362000011 0 nan),6.02793586444756,50.38347608354912
CPT-6018,MALMEDY ALBERT 1ER 17,DL2958,O,DL2958_1,TRD,55302949,55302945,MALMEDY_CM_FT016,MALMEDY,MALMEDY ALBERT 1ER 17,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (768023.6393000036 625200.9741999991 0 nan),6.029808393490676,50.425658517239555
CPT-6019,MALMEDY CHEFOFOSSE PAR WAVREUMONT,DL3776,O,DL3776_1,TRD,55302925,55103192,MALMEDY_CM_FT061,MALMEDY,MALMEDY CHEVOFOSSE PAR WAVREUMONT,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (765006.7276000008 621995.0505999997 0 nan),5.986371725595023,50.397445314748964
CPT-6110,MALMEDY HEDOMONT CV VERS LIGNEUVILLE,DL2676,O,DL2887_3,TRD,42500632,42500505,MALMEDY_CM_FT025,MALMEDY,MALMEDY HEDOMONT CV VERS LIGNEUVILLE,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769080.7136000022 622635.8242000006 0 nan),6.043862211427599,50.402387956070655
CPT-6111,MALMEDY CPT DERRIERE LES JARDINS,DL4984,O,DL4984_1,TRD,55302956,42500632,MALMEDY_CM_FT054,MALMEDY,MALMEDY CPT DERRIERE LES JARDINS,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769507.5329999998 620476.4902000017 0 nan),6.049173258816668,50.38289242322946
CPT-6112,MALMEDY CHODES ST DEP AL GOFFE R,DL4970,O,Chodes_SP_CM_FT001.F.PV,TGW,42500530,S00199701-B01,Chodes_SP_CM_FT001.F.PV,MALMEDY,MALMEDY CHODES ST DEP AL GOFFE R,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769371.2547999993 626316.0205999985 0 nan),6.0491261365099795,50.43540650693489
CPT-6119,MALMEDY DEVANT L ETANG,DL2890,O,DL2890_1,TRD,55302949,55302948,MALMEDY_CM_FT022,MALMEDY,MALMEDY DEVANT L ETANG,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (767718.2616999969 625461.5425000004 0 nan),6.025594064334119,50.428062223972596
CPT-6262,MALMEDY PREAIX SP REF FLORIHEID HAUT NOUV,DL6715,O,Preaix_S_CM_FT001.F.PV,TGW,42500503,55302952,Preaix_S_CM_FT001.F.PV,MALMEDY,MALMEDY PREAIX SP REF FLORIHEID HAUT NOUV,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (768821.8074000031 624655.2157999985 0 nan),6.0408645178702365,50.420591212901584
CPT-6263,MALMEDY PREAIX SP REF WIMBORU MONTBIJOU,DL6716,O,Preaix_S_CM_FT003.F.PV,TGW,42500532,55302952,Preaix_S_CM_FT003.F.PV,MALMEDY,MALMEDY PREAIX SP REF WIMBORU MONTBIJOU,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (768819.5768999979 624660.2353999987 0 nan),6.040834738124783,50.420636783656335
CPT-6264,MALMEDY CROIX CHODES SP DEP SURP,DL2945,O,CroixChodes_SP_CM_FT003.F.PV,TGW,55302940,002000-B01,CroixChodes_SP_CM_FT003.F.PV,MALMEDY,MALMEDY CROIX CHODES SP DEP SURP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (768712.7217999995 625303.6440999992 0 nan),6.03953634216138,50.426441546721186
CPT-6265,MALMEDY CROIX CHODES SP ARR,DL3581,O,CroixChodes_SP_CM_FT001.F.PV,TGW,002000-B01,42500529,CroixChodes_SP_CM_FT001.F.PV,MALMEDY,MALMEDY CROIX CHODES SP ARR,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (768714.4910999984 625308.8641999997 0 nan),6.0395628986877785,50.42648810550679
CPT-6266,MALMEDY FLORIHEID BAS R DEPART,DL5499,O,DL4978_3,TRD,55302939,S00200201-B01,MALMEDY_CM_FT060,MALMEDY,MALMEDY FLORIHEID BAS R OUT,Production,EN SERVICE,TRD,INCONNU,INCONNU,INCONNU,SOFREL,DL4W-S,POINT ZM (768590.1294 624435.6422000006 0 nan),6.037535367445093,50.41866478563781
CPT-6268,MALMEDY VAL ARIMONT ACHAT VILLAGE VACANCES,DL6689,N,,NONE,55300501,Unknown,,,,None,,,,,,,,POINT ZM (770379.3991999999 625432.5190000013 0 nan),6.063027993370358,50.42725845042473
CPT-6271,MALMEDY HEDOMONT R ARR FLORIHEID HAUT R,DL4412,O,Hedomont_R_CM_FT001.F.PV,TGW,S00283301-B01,42500050,Hedomont_R_CM_FT001.F.PV,MALMEDY,MALMEDY HEDOMONT R700 ARR FLORIHEID HAUT R,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (769943.0816999972 622252.3693999983 0 nan),6.055866308875974,50.39876491257495
CPT-6302,MALMEDY PONT DE WARCHE CV PETIT,DL6866,O,PontWarche_CV_CM_FT002.F.PV,TGW,55302953,42500524,PontWarche_CV_CM_FT002.F.PV,MALMEDY,MALMEDY PONT DE WARCHE CV PETIT,Adduction,EN SERVICE,TGW,DEBITMETRE,,,,,POINT ZM (766170.5150000006 624313.3442000002 0 nan),6.003458419351628,50.4180522123929
CPT-6304,VIELSALM LAGUESPRE R200 ARR LUXIBOU R95,DL5158,N,Laguespre_R_CM_FT002.F.PV,TGW,S00229801-B02,42509929,,,,None,,,,,,,,POINT ZM (764501.0141000003 609387.9461000003 0 nan),5.975401249363345,50.284227516354626
CPT-6446,ST VITH SETZ ATZERATH,DL2897,O,DL2897_1,TRD,55302453,42500569,ST_VITH_CM_FT005,SAINT VITH,ST VITH SETZ ATZERATH,Adduction,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (781079.6459000036 608664.2305000015 0 nan),6.2077009436648085,50.27424553237507
CPT-6447,ST VITH ACHAT SETH AZERATH SCHLIERBACH GD,DL5181,O,DL5181_1,TRD,42500508,Unknown,SAINT_VITH_CM_FT005,SAINT VITH,ST VITH ACHAT SETH AZERATH SCHLIERBACH GD,Achat,EN SERVICE,TRD,DEBITMETRE,HYDRUS,INCONNU,SOFREL,LS42,POINT ZM (777104.5393000022 609635.3625999987 0 nan),6.152280883236766,50.28385020810584
CPT-6449,ST VITH BREITFELD R DEP GRAV BREITFELD,DL3380,O,Breitfeld_R_CM_FT002.F.PV,TGW,55309456,S00220901-B01,Breitfeld_R_CM_FT002.F.PV,SAINT VITH,ST VITH BREITFELD R DEP GRAV BREITFELD,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (777531.1300999969 607761.2056999989 0 nan),6.157627950321178,50.266912661568576
CPT-6450,ST VITH NEIDINGEN,DL3106,O,DL3106_1,TRD,55302456,55302455,ST_VITH_CM_FT004,SAINT VITH,ST VITH NEIDINGEN,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (776967.5736000016 606218.5144000016 0 nan),6.149203954279924,50.253169441662614
CPT-6456,LIERNEUX AMCOMONT R IN,DL3405,O,Amcomont_R_CM_FT001.F.PV,TGW,S00196001-B01,55102962,Amcomont_R_CM_FT001.F.PV,LIERNEUX,LIERNEUX AMCOMONT R IN,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (752718.941200003 612548.6834000014 0 nan),5.810978847789648,50.31482641443148
CPT-6463,LIERNEUX FALIZE AMCOMONT,DL0190,O,DL0190_1,TRD,55102962,55102960,LIERNEUX_CM_FT006,LIERNEUX,LIERNEUX FALIZE AMCOMONT,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (752568.0319000036 609650.3467000015 0 nan),5.808066388541833,50.28880027557263
CPT-6469,VIELSALM ENNAL ST OUT,DL3191,O,Z004274FT1,TGC,55102823,56/1/5/002,VIELSALM_CM_FT019,VIELSALM,VIELSALM ENNAL ST OUT,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (761380.1585000008 613689.6997000016 0 nan),5.932899763995775,50.323496314598145
CPT-6505,STAVELOT VX CHATEAU R DEP STOCKEU,DL0215,O,Stavelot_R_CM_FT003.F.PV,TGW,55103166,S00220101-B01,Stavelot_R_CM_FT003.F.PV,STAVELOT,STAVELOT VX CHATEAU R DEP STOCKEU,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (762155.0307999998 621136.8038000017 0 nan),5.946013709578748,50.39028593127328
CPT-6510,VIELSALM FRAITURE BIHAIN,DL0151,O,Fraiture_ST_CM_FT002.F.PV,TGW,55102841,S00228401-B01,Fraiture_ST_CM_FT002.F.PV,VIELSALM,VIELSALM FRAITURE R125 DEP BIHAIN,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748160.5535999984 604898.9098000005 0 nan),5.744983065045126,50.24684624714468
CPT-6542,WAIMES LAC SP DEP ANDRIFOSSE,DL3024,O,Robertville_ST_CM_FT003.F.PV,TGW,55302401,S00232101-B01,Robertville_ST_CM_FT003.F.PV,WAIMES,WAIMES LAC SP DEP ANDRIFOSSE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (774243.8392999992 628788.7424000017 0 nan),6.11851946419518,50.45661380904045
CPT-6543,WAIMES SOURBRODT PUITS COMMUNAL DEPART,DL4479,O,A000137FT3,TGC,42500628,50/2/6/004,WAIMES_CM_FT012,WAIMES,WAIMES SOURBRODT PUITS COMMUNAL,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (773919.129900001 631720.4125999995 0 nan),6.114924111352241,50.48303220139695
CPT-6545,STAVELOT SS WERIMONT SP OUT,DL3443,O,SSWerimont_SP_CM_FT002.F.PV,TGW,55104190,S00219301-B01,SSWerimont_SP_CM_FT002.F.PV,STAVELOT,STAVELOT SS WERIMONT SP OUT,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (760358.4513000026 621368.4576999992 0 nan),5.9208226582610015,50.39271054482129
CPT-6570,STAVELOT HOUVEGNEZ R35 DEPART,DL5133,O,Z999999FT99,TGC,42500549,56/1/3/002,STAVELOT_CM_FT011,STAVELOT,STAVELOT HOUVEGNEZ R35 DEPART,Production,EN ATTENTE,TGC,COMPTEUR,ITRON,FLOSTAR,,,POINT ZM (765643.9312999994 615641.4578999989 0 nan),5.993365275161848,50.340211538797284
