sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-1790,VIELSALM HESTREUX ST FILTRATION,DL6673,N,,NONE,S00229301-B01,S00229301-B01,,,,None,,,,,,,,POINT ZM (755500.0239000022 605625.7919999994 0 nan),5.8480701608230765,50.25210289068081
CPT-1844,MALMEDY RECULEMONT CV ARR HEDOMONT,DL5845,N,,,42500632,42500632,,,,None,,,,,,,,POINT ZM (767998.0952999964 620506.1664999984 0 nan),6.027964204839163,50.383466056726036
CPT-1904,JALHAY SART R REFOULEMENT CV0,DL6657,N,,NONE,S00234901-B01,S00234901-B01,,,,None,,,,,,,,POINT ZM (761976.0341000035 633599.8517000005 0 nan),5.947245232186728,50.50234205227059
CPT-1905,STAVELOT ADD SART BYPASS  VERS LODOMEZ R300,DL5926,N,,,42509512,42509512,HTMasta_CV_CM_FT007.F.PV,STAVELOT,STAV AMERMONT CV 21 ADD BYPASS VERS LODOMEZ R,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762045.9657000005 622976.8960000016 0 nan),5.945032908258204,50.40684631965406
CPT-1993,VIELSALM  ZI CASERNE CHASSEURS ARDENNAIS,DL6859,N,,NONE,55102833,55102833,,,,None,,,,,,,,POINT ZM (759369.8998000026 609795.5929999985 0 nan),5.903538195553045,50.2888733736071
CPT-2003,JALHAY HOURT R FILTRATION,DL6677,N,Z004054FT4,TGC,S00229401-B01,S00229401-B01,,,,None,,,,,,,,POINT ZM (759963.4624999985 612991.624400001 0 nan),5.9128041336924095,50.317489846321564
CPT-2169,LIERNEUX TRIXHEUFOSSE R80 ARR REGNE DRAIN,DL5131,O,Trixheufoss_ST_CM_FT002.F.PV,TGW,S00197401-B01,55/8/1/002-55/8/1/005,Trixheufoss_ST_CM_FT002.F.PV,LIERNEUX,LIERNEUX TRIXHEUFOSSE ST ARR REGNE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (751583.1347000003 608350.8158 0 nan),5.793895654348947,50.27729089567475
CPT-2194,JALHAY CRAMA R DEP WAYAI,DL0243,O,Crama_R_CM_FT003.F.PV,TGW,55103414,S00194001-B01,Crama_R_CM_FT003.F.PV,JALHAY,JALHAY CRAMA R DEP WAYAI,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762500.0692000017 634059.8979999982 0 nan),5.954769765950219,50.50637605591022
CPT-2196,STAV AMERMONT PRISE DN250 BYPASS VERS HTE LEVEE R,DL4953,O,DL4952_3,TRD,42500523,42509512,HTMasta_CV_CM_FT005.F.PV,STAVELOT,STAV AMERMONT CV 21 BYPASS VERS HTE LEVEE R,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762040.5353000015 622980.9052000009 0 nan),5.944957736185235,50.40688339840958
CPT-2197,STAVELOT VX CHATEAU R ARR ADD,DL4955,O,Stavelot_R_CM_FT001.F.PV,TGW,S00220101-B01,42509512,Stavelot_R_CM_FT001.F.PV,STAVELOT,STAVELOT VX CHATEAU R ARR ADD,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (762160.2805999964 621138.2943999991 0 nan),5.946087968177079,50.39029832076868
CPT-2199,LIERNEUX BANEUX ST ARR DEP JEVIGNE,DL3467,O,Baneux_ST_CM_FT001.F.PV,TGW,55102964,S00196201-B01,Baneux_ST_CM_FT001.F.PV,LIERNEUX,LIERNEUX BANEUX ST DEP JEVIGNE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748850.862999998 608825.2991999984 0 nan),5.755695157826673,50.28202427916603
CPT-2257,LIERNEUX TROU DE BRA,DL0132,O,DL0132_1,TRD,55102954,55102953,LIERNEUX_CM_FT004,LIERNEUX,LIERNEUX TROU DE BRA,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (747426.8967000023 614379.5478000008 0 nan),5.737165194337432,50.33219038536823
CPT-2294,VIELSALM FRAITURE ST ARR FRAITURE SP,DL5208,O,Fraiture_ST_CM_FT001.F.PV,TGW,S00228401-B01,42500572,Fraiture_ST_CM_FT001.F.PV,VIELSALM,VIELSALM FRAITURE ST ARR FRAITURE SP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748162.2334000021 604901.0599000007 0 nan),5.745007175250832,50.24686529260268
CPT-2401,VIELSALM BEAUFAYS V D BOIS,DL0156,O,DL0156_1,TRD,55102831,55102828,VIELSALM_CM_FT015,VIELSALM,VIELSALM BEAUFAYS V D BOIS,Distribution,EN SERVICE,TRD,DEBITMETRE,ENDRESS HAUSER,INCONNU,SOFREL,LS42,POINT ZM (762686.7528999969 610567.6570000015 0 nan),5.950304846302197,50.295183544392515
CPT-2540,STAVELOT BARONHEID R DEP STER FRANCORCHAMPS R,DL4468,O,Baronheid_R_CV_CM_FT002.F.PV,TGW,42500517,42509512,Baronheid_R_CV_CM_FT002.F.PV,STAVELOT,STAVELOT BARONHEID R DEP STER FRANCORCHAMPS R,Production,EN SERVICE,TGW,INCONNU,ENDRESS HAUSER,INCONNU,,,POINT ZM (763254.2400000021 630730.5863000005 0 nan),5.9643845739485455,50.476305378071245
CPT-2561,WAIMES BOTRANGE INFERIEUR R200SP ARR CUVE DRAINS,DL4478,N,Botrange_ST_CM_FT005.F.PV,TGW,S00231701-B01,50/2/6/002-50/2/6/005,Botrange_ST_CM_FT005.F.PV,WAIMES,WAIMES BOTRANGE INF ST ARR DRAIN,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (773546.8769000024 632217.1827000007 0 nan),6.109845374618337,50.4875760839497
CPT-2562,WAIMES PRISE RUE BOTRANGE ,DL3636,O,DL3636_1,TRD,55301000,42500519,WAIMES_CM_FT019,WAIMES,WAIMES PRISE RUE BOTRANGE,Adduction,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (773861.6762999967 631016.7254999988 0 nan),6.113880501765659,50.476719808214725
CPT-2563,WAIMES SP LAC ARR GALERIE,DL5853,N,Robertville_ST_CM_FT001.F.PV,TGW,S00232101-B01,50/3/7/002,,,,None,,,,,,,,POINT ZM (774244.8792999983 628788.692499999 0 nan),6.118534089333085,50.456613139031816
CPT-2565,WAIMES BOTRANGE INFERIEUR R200SP ARR PUITS,DL4481,O,Botrange_ST_CM_FT001.F.PV,TGW,S00231701-B01,42500628,Botrange_ST_CM_FT001.F.PV,WAIMES,WAIMES BOTRANGE INF ST ARR PUITS,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,SOFREL,DL4W-S,POINT ZM (773566.8057999983 632223.4450999983 0 nan),6.110128211354869,50.48762814502298
CPT-2574,STAVELOT ACHAT TROIS PONTS,DL0224,O,DL0224_1,TRD,55103165,Unknown,STAVELOT_CM_FT013,STAVELOT,STAVELOT ACHAT TROIS PONTS,Achat,EN SERVICE,TRD,COMPTEUR,SENSUS,MEISTREAM,SOFREL,LS42EA,POINT ZM (757362.5786999986 619967.3341999985 0 nan),5.8782955106993295,50.38067524051293
CPT-2577,VIELSALM GOLONFA R ARR P1,DL6674,N,,NONE,S00228501-B01,56/1/7/005,,,,None,,,,,,,,POINT ZM (760530.9522999972 611169.8132000007 0 nan),5.920232962413691,50.30100739969566
CPT-2580,STAVELOT ROUTE TROIS PONTS,DL0220,O,GrandPrez_S_CM_FT002.F.PV,TGW,55103189,55103190,GrandPrez_S_CM_FT002.F.PV,STAVELOT,STAVELOT ROUTE TROIS PONTS,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (760683.3549999967 621308.5287000015 0 nan),5.925373192934557,50.39211035869873
CPT-2600,VIELSALM GORONNE RENCH,DL0153,O,DL0153_1,TRD,55102833,55102825,VIELSALM_CM_FT006,VIELSALM,VIELSALM GORONNE RENCH,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (757193.4104000032 609336.9732999988 0 nan),5.872870815307409,50.28515391448567
CPT-2604,STAVELOT DAIROMONT H,DL0160,O,Z004293FT1,TGC,55102817,55/4/3/001,STAVELOT_CM_FT002,STAVELOT,STAVELOT DAIROMONT H,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (756525.4846000001 615387.362399999 0 nan),5.865222337506195,50.33966095632175
CPT-2686,LIERNEUX LES SARTS,DL0194,O,DL0194_1,TRD,55102956,55102846,LIERNEUX_CM_FT009,LIERNEUX,LIERNEUX LES SARTS,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (755772.9540999979 607097.4021000005 0 nan),5.852311354580246,50.26528158245004
CPT-2701,MALMEDY ALBERT 1ER TOURISME,DL2974,O,DL2974_1,TRD,55302936,55302945,MALMEDY_CM_FT015,MALMEDY,MALMEDY ALBERT 1ER TOURISME,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (767984.3931000009 625174.3099000007 0 nan),6.029247766195111,50.425426791885855
CPT-2706,STAVELOT HOUVEGNEZ,DL0219,O,A000136FT1,TGC,55103167,42500549,STAVELOT_CM_FT004,STAVELOT,STAVELOT HOUVEGNEZ,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (766011.250500001 616472.4609000012 0 nan),5.998781908085702,50.34760805671583
CPT-2708,STAVELOT RIVAGE HAUT R DEP RIVAGE MOYEN R,DL4962,O,Rivage_Haut_R_CM_FT002.F.PV,TGW,55100527,S00218801-B01,Rivage_Haut_R_CM_FT002.F.PV,STAVELOT,STAVELOT RIVAGE HAUT R DEP RIVAGE MOYEN R,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (763590.0595000014 625024.1519999988 0 nan),5.967373570507569,50.42494917704215
CPT-2709,STAVELOT RIVAGE HAUT R VERS MALMEDY COMBES R,DL4964,O,Rivage_Haut_R_CM_FT003.F.PV,TGW,42500528,42500526,Rivage_Haut_R_CM_FT003.F.PV,STAVELOT,STAVELOT RIVAGE HAUT R VERS MALMEDY COMBES R,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG400,,,POINT ZM (763594.9289999977 625028.1425999999 0 nan),5.967443300138809,50.42498409757895
CPT-2712,STAVELOT DEP WAVREUMONT,DL3471,O,Wavreumont_CV_CM_FT001.F.PV,TGW,55103192,42500524,Wavreumont_CV_CM_FT001.F.PV,STAVELOT,STAVELOT DEP WAVREUMONT,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (763983.690700002 622961.2716999985 0 nan),5.972281276557423,50.40633065107527
CPT-2800,MALMEDY WINBORU R DEP MONBIJOU,DL3578,O,Wimboru_R_CM_FT002.F.PV,TGW,42500532,S00296201-B01,Wimboru_R_CM_FT002.F.PV,MALMEDY,MALMEDY WINBORU R DEP MONBIJOU,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769196.4239000008 625857.4144000001 0 nan),6.046519118141409,50.43132027014186
CPT-2802,MALMEDY HEDOMONT CV VERS HEDOMONT,DL2887,O,DL2887_1,TRD,55302933,42500505,MALMEDY_CM_FT026,MALMEDY,MALMEDY HEDOMONT CV VERS HEDOMONT,Adduction,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769078.6230000034 622641.3040000014 0 nan),6.043834560238408,50.40243763550869
CPT-2803,MALMEDY MONBIJOU,DL2874,O,Z004303FT1,TGC,55302952,42500532,MALMEDY_CM_FT011,MALMEDY,MALMEDY MONBIJOU,Adduction,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (769412.2721000016 624583.1645000018 0 nan),6.049148252453756,50.41982309718879
