sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00194101-B01,001941-B01,,,1014,1014,1900,2,,b,,,63038,,,762168.16703551,632508.73661623,50.4925165,5.94961303,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={5b59c4f5-62f3-49cb-a695-3242f8f27608},,10,,BAT-1328,1328,X,,,,,
S00194401-B01,001944-B01,70,,1014,1014,1900,3,,Q,,,63038,,,764039.90279446,631914.5646506,50.48675195,5.97579175,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={b9162232-e44d-443d-a33b-25bc023db1ec},,10,,BAT-1329,1329,X,,,,,
S00193501-B01,001935-B01,17,370,1014,1014,1900,1,,KQH,,,63038,,,758394.82989036,636475.73975357,50.52884405,5.89765539,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={3ee26769-d111-4d1d-bf2a-e70e8c0818d9},,8,,BAT-1330,1330,X,,,,,
S00193501-B02,001935-B02,,,1014,1014,1900,4,,,,,63038,,,758377.30945465,636473.27213279,50.52885322,5.89736099,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={2abebe44-0f2d-41d1-b742-cae91b2cc4d7},,8,,BAT-1331,1331,X,,,,,
S00193701-B01,001937-B04,140,480,1014,1014,1900,4,,JQH,,,63038,,,763836.94402845,634430.99979284,50.5095004,5.97371693,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={b986c74e-ae36-4a8e-afab-ffc463ab849f},,8,,BAT-1332,1332,X,2024-02-29T00:00:00,,,,
S00194601-B04,001946-B04,36,,1014,1014,1900,3,,,,,63038,,,762988.46916284,631529.09002059,50.48360245,5.96095047,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c5abbc33-fdc5-410e-b6d1-933e308094e6},,10,,BAT-1333,1333,X,,,,,
S00194501-B01,001945-B01,,,1014,1014,1900,3,,C,,,63038,,,763248.9729,631086.10155,50.47950545,5.96439856,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={f36758cb-fdf0-4ead-84c6-f2040100500d},,10,,BAT-1334,1334,X,,,,,
S00193401-B01,001934-B01,2000,433.6,1014,1014,1900,4,,JQH,,,63038,,,765018.11258245,638851.05066872,50.5488021,5.99167065,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={a8eb6694-2525-4593-a734-b5fc8951beee},,8,,BAT-1335,1335,X,2024-02-29T00:00:00,,,,
S00234901-B01,002349-B08,1250,422,1014,1014,1900,2,,JH,,,63038,,,761980.19297032,633605.01532007,50.50220365,5.94715306,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={1c17cde2-dfe2-4231-a1b6-169420fa8a1c},,10,,BAT-1336,1336,X,2025-03-24T00:00:00,,,,
S00194302-B03,001950-B02,3,430,1014,1014,1900,5,,,,,63038,,,759409.36929167,632221.005425,50.49042247,5.91064412,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={5b497d1c-82d9-480b-aa50-310c7eb0c05c},,8,,BAT-1337,1337,X,,,,,
S00194302-B01,001943-B03,,,1014,1014,1900,5,,,,,63038,,,759395.24385,632226.034,50.49048152,5.91046407,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={39f013f5-fce7-4829-b2ec-fd68c3a65e09},,8,,BAT-1338,1338,X,,,,,
S00194302-B02,001950-B01,,,1014,1014,1900,5,,,,,63038,,,759393.695633,632220.84672624,50.49043545,5.910452,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={0da32c29-9574-4c4c-a4f9-1cb02236f71a},,8,,BAT-1339,1339,X,,,,,
