objectid,type,code_eunis,travauxbiodivdebut,travauxbiodivfin,ident,ventesdebois,commune,num_sap,nom_sap,num_sap_anc,fiabilite,statut,observation,proprietaire,gestionnaire,natura2000code,natura2000nom,nom_agent_n2000,tel_agent_n2000,canton_dnf,triage_dnf,tel_canton_dnf,agent_dnf,tel_agent_dnf,gps_lat,gps_long,symbo,gestiondiff,complet,travauxbiodiversite,regime_forestier,tonte,fauchage_cla,fauchage_tar,haie,surface_etan,debrousaillement,plandeau,desherbage,demoussage,clotureconf1,cloturenconf1,portailconf,clotureconf2,clotureconf3,portailnconf,cloturenconf2,cloturenconf3,plantation,fosseterre,fossebeton,caniveau,avaloir,panneaupv,refplan,debroussaillement_tar,plandeautechnique,degagementcloture,deneigement,salage,mm_lien
19327,PPR,,,,TER-242,,Morlanwelz,S00117301,CARNIERES TRICHON,001173-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={EBB2EAD5-9889-4F2F-A815-2807FF869524}
19328,PPR,,,,TER-243,,Morlanwelz,S00117302,CARNIERES TRICHON CE,001173-T02,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,325,,,,,,,,90,,,,,,,,,,,,10,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={400095F7-99AD-45E6-96D8-BC305141D761}
19332,PPR,,,,TER-247,,Morlanwelz,S00117501,CARNIERES SP LA GADE,001175-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,,,,,,0.21,,,35,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={0B7C8C3A-E4AB-49B7-B04A-A321415F4C07}
19333,PPR,,,,TER-248,,Charleroi,S00134401,BAYEMONT JUMET CE,001344-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,3520,,,,,,,,1495,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={D5EFFC4C-D852-4189-B901-AD7AB7E2C566}
19335,PPR,,,,TER-250,,Fontaine-l'Evêque,S00142601,FORCHIES CE,001426-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,159,,,,,,,,34,,,,,,,,,,,,,1,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={81A4E085-F17A-430E-9CC6-C68535E51B45}
19337,PPR,,,,TER-252,,Courcelles,001387-T01,COURCELLES CE CV T,001387-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,631,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={8D27199C-4188-4922-BB02-D58681C1EC23}
19338,PPR,,,,TER-253,,Charleroi,S00148101,LODELINSART CE,001481-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,320,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={7FCB8EAE-1D72-4666-9EEE-50781A9B8C1A}
19339,PPR,,,,TER-254,,Aiseau-Presles,S00155801,TAILLANDIERS,001558-T01,5,regul,,,,,,,,NIV,FLEURUS,,,,,,PPR_autre,,,,,520,,,,,1.5,,,88,,,,,,,,,0,,,,2,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={31035477-3569-43EA-B89A-63FDC2973392}
19340,PPR,,,,TER-255,,Fosses-la-Ville,S00275601,LE ROUX AIE P1,002756-T01,5,regul,,,,,,,,NAM,SAMBREVILLE,,,,,,PPR_autre,,,,,,,,,,1,,,6.16,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={A9ABBDA5-6ED1-4697-B3EC-D3A7A2455057}
19341,PPR,,,,TER-256,,Sambreville,S00143501,GAY CE,001435-T01,5,regul,,,,,,,,NAM,SAMBREVILLE,,,,,,PPR_autre,,,,,,,,,,0.84,,,0.14,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={AB3E89DD-D4F9-4D9E-8612-DE113A429820}
