objectid,cellule_id,cellule_nom,ilf,longueur,cellule_type,racc_nbr,delestage,commentaire,zde_code,prelevement,debit_correctif,debit_nuit_ref,indice_criticite,zf_nom,adduction,secteur,cellule_color,Projet,lng_km,ilp_calc,Type_Cell
3610,S00196001-B01,LIERNEUX AMCOMONT B R66,,12.32974322,OUV,0,,,1039,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.01232974322,0,Rural
3616,S00229101-B01,VIELSALM MONT B ST/R50,,12.39615692,OUV,0,,,16675,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.01239615692,0,Rural
3637,S00197401-B01,LIERNEUX TRIXHEUF  B R80,,233.33992547,OUV,0,,,1039,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.23333992547,0,Rural
3656,S00230501-B01,VIELSALM SALM. BÊCHE B ST/R30,,1023.45683707,OUV,0,,,16670,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,1.02345683707,0,Rural
3658,S00229801-B02,VIELSALM LAGUESPRES B ST/R200,,145.22004547,OUV,0,,,16670,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.14522004547,0,Rural
3659,S00229301-B01,VIELSALM HESTREUX B ST/SP/R80,,35.89319471,OUV,0,,,1043,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.035893194710000006,0,Rural
3690,S00217202-B01,STAVELOT FRANCO.STER B RT100,,22.63555571,OUV,0,,,1088,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.022635555709999998,0,Rural
3701,55103193,STAVELOT SOMAGNE,2.25,1262,DIST,22,,,1088,,,,1,FAGNES,,,CYAN,Cellule Distribution,1.262,17.432646592709983,Rural
3702,55302918,MALMEDY LIGNEUVILLE TAHON,2.09,7424.86812854,DIST,82,,,17825,,,,1,FAGNES,,,ORANGE,Cellule Distribution,7.42486812854,11.04396718977475,Rural
3703,55103194,STAVELOT STOCKEU HAUT,1.82,2624,DIST,27,,,1088,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,2.624,10.289634146341463,Rural
3723,55309402,WAIMES SOURBRODT PAR RUE TCHENAS,2.62,14104.11685535,DIST,236,,,1070,,,,1,FAGNES,,,MAUVE,Cellule Distribution,14.10411685535,16.73270311217537,Rural
3808,55309456,ST VITH BREITFELD BP,2.58,1676.90229801,DIST,38,NONE,,1047,,,,1,FAGNES,,,ORANGE,Cellule Distribution,1.6769022980100001,22.660831251227368,Rural
3820,55302953,MALMEDY ST QUIRIN ZONING,3.14,19555.76903535,DIST,426,,,1088,,,,1,FAGNES,,,VERT,Cellule Distribution,19.55576903535,21.783853103907127,Rural
3828,55302932,MALMEDY BAUGNEZ GEROMONT,2.36,20334.81726438,DIST,274,,,17825,,,,1,FAGNES,,,BRUN,Cellule Distribution,20.33481726438,13.474426469519305,Rural
3848,42500513,ADD XHOFFRAIX R30SP VERS MONT R200,2.5,2585.46609391,ADD,0,,,17823,,,,1,FAGNES,,,VERT_P,Cellule Adduction,2.58546609391,0,Rural
3850,42508512,ADD VECQUEE R SURP VERS BARONHEID HOCKAY,2.5,713.13658949,ADD,0,,,1088,,,,1,FAGNES,,,VERT_P,Cellule Adduction,0.71313658949,0,Rural
3864,55309457,ST-VITH DREIHUTTEN,2.05,538.32867041,DIST,5,,,1047,,,,1,FAGNES,,,ORANGE,Cellule Distribution,0.53832867041,9.288006147233283,Rural
3866,42509512,ADD VECQUEE R VERS STAVELOT VIELSALM,2.5,15643.68579593,ADD,0,,,1088,,,,1,FAGNES,,,BLEU_P,Cellule Adduction,15.643685795929999,0,Rural
