SAP_TPLNR,SAP_TPLMA,SAP_TPLKZ,SAP_FLTYP,SAP_PLTXT,SAP_Z_TAG_WW,SAP_Z_DL_ASSOCIE
S05044-B08,S05044,ZOBBR,S,Fleurus Route du Vieux Campinaire,,
S05044-B09,S05044,ZOBBR,S,Fleurus Rue de Fleurjoux,,
S05044-B10,S05044,ZOBBR,S,Fleurus Rue de Gembloux,,
S05044-B11,S05044,ZOBBR,S,Fleurus Rue de l'Espinée,,
S05044-B12,S05044,ZOBBR,S,Fleurus Rue de Spiniaux,,
S05044-B13,S05044,ZOBBR,S,Fleurus Rue de Wanfercée-Baulet,,
S05044-B14,S05044,ZOBBR,S,Fleurus Rue de Wangenies,,
S05044-B15,S05044,ZOBBR,S,Fleurus Rue du Muturnia,,
S05044-B16,S05044,ZOBBR,S,Fleurus Rue du Spinois,,
S05044-B17,S05044,ZOBBR,S,Fleurus Rue Sart-Malet,,
S05044-B18,S05044,ZOBBR,S,Fleurus Rue Vénérable,,
S05044-B19,S05044,ZOBBR,S,Fleurus Chaussée de Gilly vers fleurus,,
S05045-B05,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Chemin du Panama,,
S05045-B06,S05045,ZOBBR,S,HSH-Nalinnes Chem du Panama trois arbres,,
S05045-B07,S05045,ZOBBR,S,HSH-Nalinnes Fonds des Bosquets,,
S05045-B08,S05045,ZOBBR,S,HSH-Nalinnes Rue de Philippeville,,
S05045-B09,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Rue Demoulin,,
S05045-B10,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Rue des Bruyères,,
S05045-B11,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Rue des Ecoles,,
S05045-B12,S05045,ZOBBR,S,HSH-Nalinnes Rue des Sarts de Louvroy,,
S05045-B13,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Rue du Cheneau,,
S05045-B14,S05045,ZOBBR,S,HSH-Nalinnes Rue du Point d'Arrêt,,
S05045-B15,S05045,ZOBBR,S,Ham-sur-Heure-Nalinnes Rue Warinaue,,
S05046-B04,S05046,ZOBBR,S,Montigny-le-Tilleul Rue de Gozée 526,,
S05046-B05,S05046,ZOBBR,S,Montigny-le-Tilleul Rue de Gozée 551,,
S05046-B06,S05046,ZOBBR,S,Montigny-le-Tilleul Rue de Hameau,,
S05046-B07,S05046,ZOBBR,S,Montigny-le-Tilleul Rue Vandervelde,,
S05047-B02,S05047,ZOBBR,S,Pont-à-Celles Chaussée de Nivelles,,
S05047-B03,S05047,ZOBBR,S,Pont-à-Celles Rue Albert 1er,,
S05047-B04,S05047,ZOBBR,S,Pont-à-Celles Ferme de Courriaulx,,
S05047-B05,S05047,ZOBBR,S,Pont-à-Celles Rue de l'Atelier Central,,
S05047-B06,S05047,ZOBBR,S,Pont-à-Celles Rue de l'Eglise,,
S05047-B07,S05047,ZOBBR,S,Pont-à-Celles Rue de Liberchies,,
S05047-B08,S05047,ZOBBR,S,Pont-à-Celles Rue de Trazegnies,,
S05047-B09,S05047,ZOBBR,S,Pont-à-Celles Rue du Bâti Notre-Dame,,
S05048-B03,S05048,ZOBBR,S,Sambreville Place du Centenaire,,
S05048-B04,S05048,ZOBBR,S,Sambreville Rue Cadastre,,
S05048-B05,S05048,ZOBBR,S,Sambreville Rue Culot du Bois,,
S05048-B06,S05048,ZOBBR,S,Sambreville Rue de la Feutrerie,,
S05048-B07,S05048,ZOBBR,S,Sambreville Rue des Auges,,
S05048-B08,S05048,ZOBBR,S,Sambreville Rue des Bachères,,
S05048-B09,S05048,ZOBBR,S,Sambreville Rue des Cailloux,,
S05048-B10,S05048,ZOBBR,S,Sambreville Rue des Combattants cuivre,,
S05048-B11,S05048,ZOBBR,S,Sambreville Rue des Combattants arsimont,,
S05048-B12,S05048,ZOBBR,S,Sambreville Rue des Glaces Nationales,,
S05048-B13,S05048,ZOBBR,S,Sambreville Rue Docteur Séverin,,
S05048-B14,S05048,ZOBBR,S,Sambreville Rue du Chesselet,,
S05048-B15,S05048,ZOBBR,S,Sambreville Rue du Gay,,
S05048-B16,S05048,ZOBBR,S,Sambreville Rue du Palton,,
S05048-B17,S05048,ZOBBR,S,Sambreville Rue du Pont,,
S05048-B18,S05048,ZOBBR,S,Sambreville Rue du Wainage keumiee centr,,
S05048-B19,S05048,ZOBBR,S,Sambreville Rue du Wainage keumiee,,
S05048-B20,S05048,ZOBBR,S,Sambreville Rue Félix Protin,,
S05048-B21,S05048,ZOBBR,S,Sambreville Rue Jules Destrée,,
S05048-B22,S05048,ZOBBR,S,Sambreville Rue Pont Sainte Maxence,,
S05048-B23,S05048,ZOBBR,S,Sambreville Rue Pont Ste Maxence ruelle,,
S05048-B24,S05048,ZOBBR,S,Sambreville Rue Radache,,
S05048-B25,S05048,ZOBBR,S,Sambreville Rue Saint-Roch,,
S05048-B26,S05048,ZOBBR,S,Sambreville Rue Surmont,,
S05049-B06,S05049,ZOBBR,S,Charleroi Avenue des Oiseaux,,
S05049-B07,S05049,ZOBBR,S,Charleroi Avenue Paul Pastur,,
S05049-B08,S05049,ZOBBR,S,Charleroi Chaussée de Fleurus,,
S05049-B09,S05049,ZOBBR,S,Charleroi Chaussée de Gilly,,
S05049-B10,S05049,ZOBBR,S,Charleroi Cité des Nutons,,
S05049-B11,S05049,ZOBBR,S,Charleroi Place du Perron,,
S05049-B12,S05049,ZOBBR,S,Charleroi Route de Châtelet,,
S05049-B13,S05049,ZOBBR,S,Charleroi Route de Philippeville qm3,,
S05049-B14,S05049,ZOBBR,S,Charleroi Route de Philippeville qb3,,
S05049-B15,S05049,ZOBBR,S,Charleroi Route de Philippeville qm2,,
S05049-B16,S05049,ZOBBR,S,Charleroi Rue Constant Renchon,,
S05049-B17,S05049,ZOBBR,S,Charleroi Rue de Bomerée,,
S05049-B18,S05049,ZOBBR,S,Charleroi Gohyssart dampremy plateau,,
S05049-B19,S05049,ZOBBR,S,Charleroi Rue de Gohyssart,,
S05049-B20,S05049,ZOBBR,S,Charleroi Rue de la Bretagne,,
S05049-B21,S05049,ZOBBR,S,Charleroi Rue de la Limite,,
S05049-B22,S05049,ZOBBR,S,Charleroi de la Station ransart station,,
S05049-B23,S05049,ZOBBR,S,Charleroi Rue de la Station petit sablon,,
S05049-B24,S05049,ZOBBR,S,Charleroi Rue de la Tombe,,
S05049-B25,S05049,ZOBBR,S,Charleroi Rue de Mons,,
S05049-B26,S05049,ZOBBR,S,Charleroi Rue de Namur,,
S05049-B27,S05049,ZOBBR,S,Charleroi Rue Hortense Hocqumille,,
S05049-B28,S05049,ZOBBR,S,Charleroi Rue de Roux,,
S05049-B29,S05049,ZOBBR,S,Charleroi Rue des Alliés,,
S05049-B30,S05049,ZOBBR,S,Charleroi Rue des Carrières,,
S05049-B31,S05049,ZOBBR,S,Charleroi Rue des Déportés,,
S05049-B32,S05049,ZOBBR,S,Charleroi Rue des Frères Heusghem,,
S05049-B33,S05049,ZOBBR,S,Charleroi Rue des Hiercheuses,,
S05049-B34,S05049,ZOBBR,S,Charleroi Rue du Calvaire,,
S05049-B35,S05049,ZOBBR,S,Charleroi  Cerisier marcinelle tombe,,
S05049-B36,S05049,ZOBBR,S,Charleroi Rue du Cerisier sms cerisier,,
S05049-B37,S05049,ZOBBR,S,Charleroi Rue du Château,,
S05049-B38,S05049,ZOBBR,S,Charleroi Rue du Chemin de Fer,,
S05049-B39,S05049,ZOBBR,S,Charleroi Rue du Cimetière,,
S05049-B40,S05049,ZOBBR,S,Charleroi Rue du Mayeuri,,
S05049-B41,S05049,ZOBBR,S,Charleroi Rue du Port,,
S05049-B42,S05049,ZOBBR,S,Charleroi Rue du Socquoy,,
S05049-B43,S05049,ZOBBR,S,Charleroi Rue du Vigneron,,
S05049-B44,S05049,ZOBBR,S,Charleroi Rue Emile Vandervelde coucou,,
S05049-B45,S05049,ZOBBR,S,Charleroi Emile Vandervelde monceu e vdv,,
S05049-B46,S05049,ZOBBR,S,Charleroi Rue Gillard,,
S05049-B47,S05049,ZOBBR,S,Charleroi Rue Jules Ruhl,,
S05049-B48,S05049,ZOBBR,S,Charleroi Rue Masses Diarbois,,
S05049-B49,S05049,ZOBBR,S,Charleroi Rue Paul Pastur Diarbois,,
S05049-B50,S05049,ZOBBR,S,Charleroi Rue Paul Pastur home,,
S05049-B51,S05049,ZOBBR,S,Charleroi Rue Pierre Baily,,
S05049-B52,S05049,ZOBBR,S,Charleroi Rue Saint-Roch,,
S05049-B53,S05049,ZOBBR,S,Charleroi Rue Try du Scouf,,
S05086-B02,S05086,ZOBBR,S,Gerpinnes Allée des Bouleaux,,
S05086-B03,S05086,ZOBBR,S,Gerpinnes Allée des Sports,,
S05086-B04,S05086,ZOBBR,S,Gerpinnes Rue de Châtelet,,
S05086-B05,S05086,ZOBBR,S,Gerpinnes Rue de Fagnet,,
S05086-B06,S05086,ZOBBR,S,Gerpinnes Rue de la Blanche Borne,,
S05086-B07,S05086,ZOBBR,S,Gerpinnes Rue de la Ferrée,,
S05086-B08,S05086,ZOBBR,S,Gerpinnes Rue de Villers,,
S05086-B09,S05086,ZOBBR,S,Gerpinnes Rue des Flaches,,
S05086-B10,S05086,ZOBBR,S,Gerpinnes Rue des Saules Bultia,,
S05086-B11,S05086,ZOBBR,S,Gerpinnes Rue des Saules 30,,
S05086-B12,S05086,ZOBBR,S,Gerpinnes Rue d'Hymiée,,
S05086-B13,S05086,ZOBBR,S,Gerpinnes Rue Jean Joseph Piret,,
S05086-B14,S05086,ZOBBR,S,Gerpinnes Rue Lucien François,,
S05086-B15,S05086,ZOBBR,S,Gerpinnes Rue Lucien François vp,,
S05087-B05,S05087,ZOBBR,S,Incourt Rue Alphonse Robert,,
S05087-B06,S05087,ZOBBR,S,Incourt Rue de l'Eglise,,
S05087-B07,S05087,ZOBBR,S,Incourt Rue de Wastines,,
S05088-B08,S05088,ZOBBR,S,Braine-le-Comte Chaussée de Mons,,
S05088-B09,S05088,ZOBBR,S,Braine-le-Comte Chemin du Pont,,
S05088-B10,S05088,ZOBBR,S,Braine-le-Comte Rue de Bruxelles,,
S05088-B11,S05088,ZOBBR,S,Braine-le-Comte Rue de la Belle-Croix,,
S05088-B12,S05088,ZOBBR,S,Braine-le-Comte Rue de la Bienfaisance,,
S05088-B13,S05088,ZOBBR,S,Braine-le-Comte Rue de Nivelles,,
S05088-B14,S05088,ZOBBR,S,Braine-le-Comte Rue des Cantines 50,,
S05088-B15,S05088,ZOBBR,S,Braine-le-Comte Rue d'Horrues,,
S05088-B16,S05088,ZOBBR,S,Braine-le-Comte Rue du Bosquet,,
S05088-B17,S05088,ZOBBR,S,Braine-le-Comte Rue du Viaduc,,
S05088-B18,S05088,ZOBBR,S,Braine-le-Comte Rue des Cantines 20,,
S05089-B05,S05089,ZOBBR,S,Soignies Chaussée de Lessines,,
S05089-B06,S05089,ZOBBR,S,Soignies Chemin de la Crotteuse,,
S05089-B07,S05089,ZOBBR,S,Soignies Chemin de la Ghésardrée,,
S05089-B08,S05089,ZOBBR,S,Soignies Chemin des Princes,,
S05089-B09,S05089,ZOBBR,S,Soignies Chemin du Bois de Steenkerque,,
S05089-B10,S05089,ZOBBR,S,Soignies Rue Caulier,,
S05089-B11,S05089,ZOBBR,S,Soignies Rue des Clochettes,,
S05089-B12,S05089,ZOBBR,S,Soignies Rue des Trois Planches,,
S05089-B13,S05089,ZOBBR,S,Soignies Rue du Tram,,
S05089-B14,S05089,ZOBBR,S,Soignies Rue du Viaduc,,
S05089-B15,S05089,ZOBBR,S,Soignies Rue Ramée,,
S05090-B05,S05090,ZOBBR,S,Braine-le-Château Rue Auguste Latour,,
S05090-B06,S05090,ZOBBR,S,Braine-le-Château Rue de Hal,,
S05090-B07,S05090,ZOBBR,S,Braine-le-Château Rue de Tubize,,
S05091-B04,S05091,ZOBBR,S,Hannut Basse Chaussée,,
